"countries","rank","gdp billinors"
"Russia","11","3,186.9"
"Russia","11","3,173.4"
"Russia","11","2,937.5"
"Russia","11","2,099.9"
"Russia","11","1,990.8"
"Russia","11","1,798.5"
"Russia","11","1,775.8"
"Russia","11","1,609.0"
"Russia","11","1,542.7"
"Russia","11","1,425.3"
"Russia","11","1,293.0"
"Russia","11","1,186.1"
"Russia","11","1,018.0"
"Russia","11","833.5"
"Russia","11","815.3"
"Russia","11","812.9"
"Russia","11","674.0"
"Russia","11","627.4"
"Russia","11","599.9"
"Russia","11","506.0"
"Russia","11","498.6"
"Russia","11","491.5"
"Russia","11","482.4"
"Russia","11","482.4"
"Russia","11","481.6"
"Russia","11","477.1"
"Russia","11","440.8"
"Russia","11","419.9"
"Russia","11","416.3"
"Russia","11","404.1"
"Russia","11","397.1"
"Russia","11","397.0"
"Russia","11","394.1"
"Russia","11","372.7"
"Russia","11","368.1"
"Russia","11","362.6"
"Russia","11","358.9"
"Russia","11","346.3"
"Russia","11","317.1"
"Russia","11","314.3"
"Russia","11","299.2"
"Russia","11","284.1"
"Russia","11","282.3"
"Russia","11","250.0"
"Russia","11","249.9"
"Russia","11","231.5"
"Brazil","12","22,996.1"
"Brazil","12","17,734.1"
"Brazil","12","4,937.4"
"Brazil","12","4,223.1"
"Brazil","12","3,186.9"
"Brazil","12","3,173.4"
"Brazil","12","2,937.5"
"Brazil","12","2,099.9"
"Brazil","12","1,990.8"
"Brazil","12","1,798.5"
"Brazil","12","1,775.8"
"Brazil","12","1,609.0"
"Brazil","12","1,542.7"
"Brazil","12","1,425.3"
"Brazil","12","1,293.0"
"Brazil","12","1,186.1"
"Brazil","12","1,018.0"
"Brazil","12","833.5"
"Brazil","12","815.3"
"Brazil","12","812.9"
"Brazil","12","674.0"
"Brazil","12","627.4"
"Brazil","12","599.9"
"Brazil","12","506.0"
"Brazil","12","498.6"
"Brazil","12","491.5"
"Brazil","12","482.4"
"Brazil","12","482.4"
"Brazil","12","481.6"
